guid,title,pubDate,description,link,media
b'https://timesofindia.indiatimes.com/city/bengaluru/yelahanka-sees-highest-fatal-road-accidents-in-bengaluru/articleshow/96183783.cms',"b""Yelahanka sees highest fatal road accidents in B'luru""",b'2022-12-13T04:50:54+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96183783.cms"" /> Fatalities due to road accidents continue to be the highest in Yelahanka. While 52 road fatalities were reported in the police station limits in 2021, the number stood at 40 in the first 10 months of this year.'",b'https://timesofindia.indiatimes.com/city/bengaluru/yelahanka-sees-highest-fatal-road-accidents-in-bengaluru/articleshow/96183783.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/in-bengaluru-vv-purams-food-street-to-get-rs-6-crore-makeover/articleshow/96185236.cms',"b""VV Puram's Food Street to get Rs 6 crore makeover""",b'2022-12-13T06:37:50+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96185236.cms"" />Food Street in VV Puram, where over 50 vendors sell lip-smacking dishes and draw thousands of Bengalureans every evening, is set to get a facelift. The foundation stone for the redevelopment work, to be undertaken by Bruhat Bengaluru Mahanagara Palike, will be laid on Tuesday.'",b'https://timesofindia.indiatimes.com/city/bengaluru/in-bengaluru-vv-purams-food-street-to-get-rs-6-crore-makeover/articleshow/96185236.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/raichur-girl-is-karnatakas-first-zika-virus-case/articleshow/96183534.cms',"b""Raichur girl is Karnataka's first Zika virus case""",b'2022-12-13T04:40:58+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96183534.cms"" />A five-year-old girl from Kolicamp in Manvi taluk, Raichur district, has become the first confirmed Zika virus case in the state, confirmed health minister K Sudhakar on Monday.'",b'https://timesofindia.indiatimes.com/city/bengaluru/raichur-girl-is-karnatakas-first-zika-virus-case/articleshow/96183534.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/dk-shivakumar-siddaramaiah-asked-to-jointly-lead-congresss-bus-yatra-in-karnataka/articleshow/96183384.cms',"b'DKS, Sidda asked to jointly lead Cong\xe2\x80\x99s bus yatra'",b'2022-12-13T04:40:05+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96183384.cms"" />Congress high command gave its nod to the Karnataka unit to undertake a bus yatra in January, but with a rider that KPCC president DK Shivakumar and Congress Legislature Party leader Siddaramaiah jointly lead the yatra. The bus rally will cover all 224 assembly constituencies in the state in 75 days.'",b'https://timesofindia.indiatimes.com/city/bengaluru/dk-shivakumar-siddaramaiah-asked-to-jointly-lead-congresss-bus-yatra-in-karnataka/articleshow/96183384.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/karnataka-hc-begins-hearing-on-fresh-plea-by-ola-uber/articleshow/96183546.cms',"b'HC begins hearing on fresh plea by Ola, Uber'",b'2022-12-13T04:41:27+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96183546.cms"" />The high court on Monday commenced hearing on a batch of fresh petitions filed by transport aggregators Ola and Uber wherein they have challenged the fare notification issued by the transport department on November 25 with regard to autorickshaw services.'",b'https://timesofindia.indiatimes.com/city/bengaluru/karnataka-hc-begins-hearing-on-fresh-plea-by-ola-uber/articleshow/96183546.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/time-rising-cost-of-living-grounds-to-hike-maintenance-says-karnataka-hc/articleshow/96183275.cms',"b""'Rising cost of living ground to hike maintenance'""",b'2022-12-13T04:29:15+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96183275.cms"" />Passage of time and increased cost of living do qualify as changed circumstances, the Karnataka high court has observed, ordering the doubling of monthly maintenance payable to a Bengaluru woman by her husband.'",b'https://timesofindia.indiatimes.com/city/bengaluru/time-rising-cost-of-living-grounds-to-hike-maintenance-says-karnataka-hc/articleshow/96183275.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/deaths-of-six-wild-boars-spark-african-swine-fever-scare-at-karnatakas-bandipur-tiger-reserve/articleshow/96183674.cms',b'Deaths of wild boars spark African swine fever scare',b'2022-12-13T04:46:48+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96183674.cms"" /> The sudden eath of six wild boars in and around Bandipur Tiger Reserve in Chamarajanagar last week has put both the forest department and animal husbandry and veterinary services (AHVS) department on alert fearing a possible outbreak of African swine fever.'",b'https://timesofindia.indiatimes.com/city/bengaluru/deaths-of-six-wild-boars-spark-african-swine-fever-scare-at-karnatakas-bandipur-tiger-reserve/articleshow/96183674.cms',
b'https://timesofindia.indiatimes.com/city/mangaluru/eco-start-up-to-get-social-impact-funds/articleshow/96159420.cms',"b""Eco start-up to get social impact funds in M'luru""",b'2022-12-12T07:18:03+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159420.cms"" />Mangala Resource Management Private Limited (MRMPL), an eco start-up born out of volunteerism involved in the Ramakrishna Mission Swacch Mangaluru Abhiyan, will get financial support from rePurpose, the world\'s leading plastic action platform.'",b'https://timesofindia.indiatimes.com/city/mangaluru/eco-start-up-to-get-social-impact-funds/articleshow/96159420.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/more-rainy-and-chilly-days-in-store-for-bengaluru/articleshow/96159657.cms',b'More rainy and chilly days in store for Bengaluru',b'2022-12-12T07:47:07+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159657.cms"" />Barring a few brief sunny interludes in the morning, Bengaluru wore a gloomy look most of Sunday. The day saw light to moderate rain and chilly weather. Woollies and brollies were all out on the wet weekend.'",b'https://timesofindia.indiatimes.com/city/bengaluru/more-rainy-and-chilly-days-in-store-for-bengaluru/articleshow/96159657.cms',
b'https://timesofindia.indiatimes.com/city/mysuru/3-engineering-students-die-in-car-truck-crash-in-karnataka/articleshow/96159405.cms',b'3 engg students die in car-truck crash in Karnataka',b'2022-12-12T07:16:34+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159405.cms"" />Three final-year engineering students died and their friend suffered injuries when their car collided with a goods truck in Shivamogga Rural police station limits early on Sunday. '",b'https://timesofindia.indiatimes.com/city/mysuru/3-engineering-students-die-in-car-truck-crash-in-karnataka/articleshow/96159405.cms',
